Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.107343,-1.412306,0.390235,-313.281830,-20.174400,-28.139723,1.602576,0.332424,2.798800,-343.323364,89.775513,202.027863,3.331498,-0.863704,0.924280,-151.039597,81.808678,-97.384651
2,0,0.107586,-1.412098,0.390746,-313.101898,-20.202984,-27.936087,1.614707,0.401596,2.812289,-343.260101,89.855362,202.058823,3.332541,-0.863226,0.922432,-150.916183,81.856094,-97.172226
3,0,0.108511,-1.411595,0.392590,-312.919861,-20.252369,-27.729719,1.621494,0.439117,2.818898,-343.209351,89.939514,202.089737,3.333555,-0.862593,0.920707,-150.788330,81.896507,-96.962402
4,0,0.109302,-1.411255,0.393955,-312.731110,-20.294380,-27.539028,1.627854,0.476221,2.825103,-343.153046,90.030365,202.119568,3.334881,-0.861581,0.920114,-150.643982,81.941170,-96.786934
5,0,0.108730,-1.413616,0.392962,-312.585419,-20.324957,-27.360580,1.633839,0.513512,2.830882,-343.095154,90.118149,202.153366,3.337021,-0.860334,0.918895,-150.501877,81.984825,-96.607788
6,0,0.108599,-1.414488,0.393718,-312.435333,-20.365688,-27.169703,1.639396,0.549448,2.836179,-343.038666,90.208733,202.185410,3.338390,-0.859463,0.917059,-150.362976,82.026611,-96.397186
7,0,0.109051,-1.413741,0.394355,-312.247192,-20.396238,-26.962732,1.644500,0.583354,2.840423,-342.976044,90.291122,202.223572,3.339619,-0.858578,0.917662,-150.215179,82.076393,-96.182434
8,0,0.109943,-1.413066,0.396615,-312.036041,-20.424835,-26.767773,1.650661,0.629115,2.845971,-342.907166,90.376816,202.266510,3.340570,-0.857164,0.916571,-150.081635,82.108109,-95.975159
9,0,0.110268,-1.412851,0.397186,-311.841064,-20.459553,-26.587605,1.654186,0.654933,2.848663,-342.845459,90.462074,202.294357,3.342246,-0.855987,0.915138,-149.955200,82.146164,-95.763504
10,0,0.109605,-1.415277,0.396115,-311.683960,-20.489923,-26.407148,1.658669,0.688633,2.851921,-342.780609,90.553017,202.330154,3.343797,-0.855195,0.914782,-149.820740,82.184296,-95.539650
11,0,0.109922,-1.415927,0.397258,-311.515961,-20.521362,-26.218788,1.658374,0.678990,2.850710,-342.723083,90.642776,202.364105,3.344838,-0.854033,0.914525,-149.690720,82.232773,-95.295959
12,0,0.111176,-1.414039,0.399772,-311.282349,-20.549356,-26.015800,1.659817,0.687565,2.851402,-342.659180,90.736320,202.401825,3.346268,-0.852852,0.913786,-149.537857,82.267059,-95.067436
13,0,0.111325,-1.413666,0.401182,-311.078094,-20.575991,-25.825731,1.661656,0.699712,2.852461,-342.605347,90.823677,202.430099,3.348010,-0.851690,0.914035,-149.381866,82.308533,-94.865860
14,0,0.110949,-1.415333,0.400181,-310.887482,-20.600855,-25.648035,1.664050,0.720779,2.854469,-342.539398,90.920654,202.473633,3.350107,-0.850817,0.912865,-149.229889,82.348831,-94.627083
15,0,0.110187,-1.416838,0.399664,-310.705780,-20.623161,-25.471857,1.664782,0.724969,2.854881,-342.477570,91.008766,202.512054,3.350940,-0.849859,0.913569,-149.078064,82.396561,-94.375717
16,0,0.110781,-1.416242,0.402771,-310.494354,-20.655306,-25.279444,1.666709,0.741484,2.856373,-342.418976,91.112160,202.552780,3.351927,-0.848394,0.912760,-148.954620,82.427567,-94.124557
17,0,0.111601,-1.415271,0.404942,-310.264862,-20.685757,-25.070354,1.667518,0.746231,2.856939,-342.360168,91.212868,202.599335,3.354563,-0.846753,0.911732,-148.805038,82.473656,-93.884636
18,0,0.111240,-1.415461,0.405474,-310.057495,-20.706644,-24.877401,1.668028,0.750381,2.857311,-342.303375,91.305923,202.652466,3.356099,-0.845704,0.912759,-148.659637,82.519836,-93.618782
19,0,0.110271,-1.418108,0.404557,-309.863556,-20.725510,-24.705256,1.666033,0.728465,2.855152,-342.242950,91.406502,202.699051,3.357287,-0.843761,0.912691,-148.487167,82.566986,-93.352585
20,0,0.110958,-1.417405,0.406751,-309.627014,-20.757809,-24.505575,1.664198,0.705942,2.852894,-342.185242,91.500565,202.738663,3.358829,-0.842482,0.913438,-148.319809,82.612251,-93.117439
21,0,0.111564,-1.415939,0.411097,-309.383484,-20.787186,-24.296946,1.664210,0.699079,2.851985,-342.137421,91.604225,202.768768,3.359742,-0.841522,0.914730,-148.154526,82.665413,-92.838043
22,0,0.111195,-1.416821,0.411390,-309.173584,-20.803497,-24.090927,1.661121,0.664481,2.847931,-342.085236,91.697334,202.803757,3.360580,-0.840948,0.915680,-147.991745,82.724190,-92.541122
23,0,0.110186,-1.419366,0.410027,-308.976959,-20.827662,-23.906120,1.660797,0.658544,2.847285,-342.030212,91.798569,202.842758,3.361801,-0.839241,0.915784,-147.829498,82.771011,-92.272789
24,0,0.110904,-1.418181,0.413074,-308.703064,-20.851290,-23.705135,1.664563,0.692548,2.851150,-341.982910,91.890190,202.871674,3.362764,-0.838064,0.918027,-147.640152,82.841171,-91.991287
25,0,0.111460,-1.418700,0.415124,-308.460297,-20.883730,-23.498550,1.667078,0.717644,2.853715,-341.923492,91.986237,202.900650,3.364679,-0.835998,0.919161,-147.470764,82.904327,-91.680687
26,0,0.110508,-1.419213,0.417105,-308.250214,-20.907217,-23.293386,1.669336,0.741960,2.856067,-341.851074,92.073372,202.950409,3.365577,-0.834496,0.920100,-147.301941,82.965080,-91.376808
27,0,0.110584,-1.421142,0.416050,-308.014374,-20.923422,-23.094978,1.672048,0.771684,2.858665,-341.779510,92.168312,202.993607,3.365426,-0.832334,0.924289,-147.123352,83.030777,-91.065529
28,0,0.111854,-1.420151,0.419292,-307.719849,-20.953329,-22.886311,1.674586,0.800061,2.860929,-341.712341,92.269379,203.027435,3.367125,-0.831406,0.923696,-146.936966,83.102379,-90.754829
29,0,0.111629,-1.421274,0.420222,-307.479065,-20.976496,-22.682022,1.673640,0.785838,2.859744,-341.670593,92.364357,203.072205,3.367913,-0.829026,0.925358,-146.740387,83.174820,-90.425240
30,0,0.110542,-1.422467,0.421481,-307.265594,-20.999153,-22.470568,1.670876,0.748167,2.856484,-341.627625,92.459358,203.103546,3.368457,-0.827371,0.929452,-146.525040,83.255135,-90.114990
