Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-1.750116,1.754011,0.035109,-228.551956,199.034805,-74.714180,-0.125896,2.213948,-1.575089,-310.833679,232.862595,234.767059,0.693947,3.976193,0.662249,69.803986,364.043549,-184.211349
2,0,-1.749881,1.753984,0.035476,-228.541748,199.032150,-74.723373,-0.133719,2.234004,-1.549661,-310.812286,232.860931,234.758087,0.693643,3.976582,0.662886,69.806854,364.047729,-184.216522
3,0,-1.749830,1.753792,0.036189,-228.537552,199.020767,-74.730377,-0.141374,2.253357,-1.524607,-310.795685,232.854141,234.755478,0.693575,3.976685,0.662204,69.810074,364.057037,-184.218872
4,0,-1.750013,1.753848,0.036419,-228.528046,199.020645,-74.743011,-0.148742,2.272042,-1.499910,-310.774109,232.852310,234.747101,0.693266,3.976921,0.662497,69.817009,364.064178,-184.220871
5,0,-1.749925,1.753879,0.036175,-228.523666,199.010361,-74.750237,-0.155812,2.289598,-1.476222,-310.752289,232.854492,234.738602,0.693113,3.977141,0.661940,69.817375,364.069122,-184.222763
6,0,-1.749877,1.753825,0.036312,-228.513260,199.009521,-74.759117,-0.162626,2.306461,-1.452983,-310.736389,232.848007,234.736176,0.692910,3.977279,0.661858,69.821991,364.071777,-184.226013
7,0,-1.749635,1.753667,0.036620,-228.506699,199.000061,-74.769768,-0.169317,2.322744,-1.430149,-310.711975,232.849899,234.729355,0.692628,3.977524,0.661995,69.826797,364.079926,-184.229126
8,0,-1.749786,1.754062,0.036758,-228.498932,198.991440,-74.777763,-0.175657,2.337768,-1.408606,-310.699097,232.847717,234.726166,0.693022,3.977678,0.661591,69.836197,364.086639,-184.234344
9,0,-1.749790,1.753800,0.037249,-228.493576,198.989883,-74.792801,-0.181733,2.352645,-1.386824,-310.674133,232.844879,234.720993,0.692652,3.978071,0.661170,69.840401,364.092041,-184.242142
10,0,-1.749748,1.753894,0.037311,-228.480240,198.981201,-74.805779,-0.187780,2.366555,-1.366256,-310.655914,232.846115,234.713959,0.692803,3.978484,0.660704,69.843330,364.094360,-184.254745
11,0,-1.749648,1.753845,0.037414,-228.468643,198.980179,-74.814781,-0.193331,2.379467,-1.346709,-310.632629,232.844467,234.704575,0.692493,3.978426,0.661195,69.848373,364.102356,-184.251953
12,0,-1.749874,1.753789,0.037249,-228.462860,198.976120,-74.819252,-0.200438,2.396135,-1.320957,-310.621521,232.845245,234.701523,0.692470,3.978960,0.661120,69.850822,364.109650,-184.257767
13,0,-1.749795,1.754010,0.037622,-228.454178,198.969620,-74.832230,-0.205143,2.406800,-1.304320,-310.604004,232.841660,234.700134,0.692360,3.978893,0.660622,69.858917,364.112000,-184.262772
14,0,-1.749725,1.753876,0.037170,-228.448639,198.964584,-74.838440,-0.208151,2.413410,-1.293793,-310.586548,232.845001,234.696747,0.692344,3.978995,0.660800,69.862930,364.115997,-184.272949
15,0,-1.749631,1.754037,0.037645,-228.442703,198.957230,-74.843384,-0.210814,2.419557,-1.283941,-310.567719,232.843735,234.693954,0.692154,3.979220,0.660706,69.873291,364.121948,-184.272476
16,0,-1.749525,1.754082,0.037233,-228.433685,198.953873,-74.853798,-0.213850,2.425988,-1.273606,-310.551941,232.837402,234.693771,0.692292,3.979530,0.660785,69.875443,364.121521,-184.277390
17,0,-1.749593,1.754057,0.037336,-228.425598,198.945633,-74.857162,-0.217318,2.433723,-1.260931,-310.535431,232.839722,234.688828,0.692084,3.979624,0.660951,69.876183,364.128815,-184.279343
18,0,-1.749796,1.754094,0.037352,-228.421600,198.944199,-74.864479,-0.221438,2.442751,-1.246079,-310.513977,232.837799,234.686279,0.692163,3.979516,0.660874,69.882828,364.130951,-184.281097
19,0,-1.749779,1.754035,0.037240,-228.419037,198.937714,-74.868584,-0.224143,2.448520,-1.236381,-310.494110,232.840012,234.682678,0.691791,3.979746,0.660233,69.886078,364.136047,-184.282455
20,0,-1.749682,1.754018,0.037337,-228.409866,198.932007,-74.873016,-0.225110,2.450545,-1.232888,-310.480988,232.839569,234.679703,0.691891,3.979755,0.660286,69.891296,364.138824,-184.286011
21,0,-1.750028,1.754194,0.037052,-228.399887,198.929947,-74.880005,-0.228539,2.457939,-1.220427,-310.463776,232.839127,234.676422,0.691894,3.979989,0.660403,69.890953,364.146179,-184.296463
22,0,-1.749812,1.753996,0.036951,-228.389893,198.926926,-74.885490,-0.226232,2.452591,-1.229407,-310.445770,232.841171,234.669479,0.691732,3.980324,0.660112,69.895737,364.146484,-184.295715
23,0,-1.750036,1.753803,0.036905,-228.386642,198.921310,-74.889030,-0.224971,2.449843,-1.234035,-310.425507,232.841156,234.665894,0.691985,3.980141,0.659972,69.897049,364.149078,-184.298218
