Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,2.508782,-2.471987,-0.167109,-238.415253,194.577042,-46.024292,1.147200,-2.147025,2.332536,-302.363800,259.447876,248.643051,0.771927,3.924686,0.489842,43.360252,371.942841,-187.564590
2,0,2.508168,-2.472605,-0.167451,-238.460800,194.525894,-46.056831,1.147901,-2.138895,2.344922,-302.242706,259.473572,248.639359,0.771622,3.924502,0.489990,43.354305,371.889008,-187.519073
3,0,2.507426,-2.473263,-0.168076,-238.504669,194.480911,-46.093563,1.147972,-2.123188,2.368888,-302.133698,259.501343,248.638458,0.772284,3.924601,0.491187,43.350376,371.827606,-187.469482
4,0,2.506454,-2.473715,-0.168741,-238.548660,194.428467,-46.124802,1.150803,-2.148093,2.328950,-302.039825,259.523529,248.641144,0.772780,3.924487,0.492534,43.343082,371.762787,-187.429459
5,0,2.505814,-2.474112,-0.169089,-238.586075,194.385574,-46.152920,1.152196,-2.156015,2.315774,-301.932251,259.549377,248.636215,0.774030,3.924127,0.492873,43.336693,371.700592,-187.389847
6,0,2.504796,-2.474366,-0.169861,-238.626526,194.335663,-46.186420,1.153535,-2.159167,2.310107,-301.818512,259.574066,248.640045,0.775293,3.923869,0.495028,43.336910,371.629608,-187.351227
7,0,2.504066,-2.474650,-0.170701,-238.671799,194.289185,-46.209347,1.153159,-2.132903,2.351731,-301.692841,259.602722,248.636810,0.776797,3.923548,0.496153,43.332802,371.550781,-187.315292
8,0,2.503627,-2.475098,-0.171041,-238.703003,194.246277,-46.240276,1.152836,-2.111399,2.384815,-301.564331,259.632263,248.637985,0.777658,3.924119,0.497911,43.331535,371.477692,-187.282135
9,0,2.502917,-2.475538,-0.171613,-238.742462,194.202728,-46.260807,1.153728,-2.109379,2.387354,-301.460724,259.656464,248.640289,0.778849,3.923295,0.499481,43.327473,371.405853,-187.247009
10,0,2.502563,-2.475774,-0.172192,-238.772354,194.165741,-46.289146,1.155957,-2.127330,2.358824,-301.364349,259.677551,248.649261,0.778758,3.923795,0.500371,43.322708,371.329254,-187.213333
