Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.606654,2.471166,-0.245407,-521.912781,-73.436310,-66.863159,-1.754307,0.715854,0.632412,-446.141510,112.593605,264.435547,-1.291067,2.414631,-0.000900,-372.394318,-167.552155,-307.156769
2,0,-0.606520,2.471245,-0.245204,-521.902649,-73.432465,-66.871178,-1.717149,0.724496,0.616375,-446.135193,112.584831,264.431335,-1.291624,2.414851,-0.000561,-372.387543,-167.537857,-307.174927
3,0,-0.606430,2.471249,-0.245388,-521.892944,-73.431221,-66.881821,-1.683434,0.732191,0.601734,-446.119873,112.575851,264.426666,-1.291510,2.414700,-0.000492,-372.382965,-167.528488,-307.190796
4,0,-0.606299,2.471144,-0.245131,-521.885986,-73.434090,-66.891434,-1.656237,0.738235,0.590029,-446.114777,112.571495,264.421844,-1.291095,2.414400,-0.000481,-372.379333,-167.515976,-307.209351
5,0,-0.605895,2.471113,-0.245478,-521.872192,-73.428711,-66.903587,-1.647547,0.740138,0.586265,-446.109070,112.557716,264.420227,-1.291573,2.414733,-0.000144,-372.374847,-167.505005,-307.222229
6,0,-0.606449,2.471232,-0.244825,-521.869568,-73.429840,-66.910530,-1.644536,0.740617,0.585064,-446.100159,112.552315,264.417236,-1.291517,2.414710,-0.000149,-372.370148,-167.489487,-307.242188
7,0,-0.606152,2.471273,-0.244926,-521.862061,-73.428795,-66.918892,-1.631310,0.743452,0.579296,-446.085693,112.538437,264.414124,-1.291467,2.414631,-0.000006,-372.365723,-167.479599,-307.253235
8,0,-0.606108,2.471249,-0.245075,-521.851929,-73.427765,-66.930275,-1.632760,0.743132,0.579944,-446.072968,112.538177,264.403687,-1.291458,2.415003,-0.000677,-372.370514,-167.471054,-307.265045
9,0,-0.605833,2.471040,-0.244707,-521.841064,-73.426544,-66.940735,-1.621012,0.745451,0.574970,-446.067780,112.529839,264.402771,-1.291543,2.414811,-0.000542,-372.366394,-167.458099,-307.277100
10,0,-0.605886,2.471176,-0.244619,-521.831970,-73.427071,-66.949318,-1.638825,0.741834,0.582774,-446.061768,112.519333,264.394684,-1.291387,2.414521,0.000107,-372.356628,-167.438889,-307.304932
11,0,-0.605796,2.471101,-0.244778,-521.825256,-73.422203,-66.962944,-1.628999,0.743776,0.578601,-446.051758,112.510078,264.393433,-1.291440,2.414434,0.000250,-372.355988,-167.425629,-307.317596
12,0,-0.605923,2.471270,-0.244418,-521.814697,-73.423988,-66.969833,-1.638375,0.741798,0.582711,-446.047821,112.506889,264.389038,-1.291320,2.414710,-0.000190,-372.352783,-167.414047,-307.325562
13,0,-0.605467,2.471168,-0.244669,-521.806458,-73.421066,-66.980659,-1.642672,0.740875,0.584549,-446.031006,112.495575,264.385742,-1.291424,2.414426,0.000264,-372.345856,-167.397491,-307.350677
14,0,-0.605935,2.471114,-0.244214,-521.793701,-73.414665,-66.998909,-1.625775,0.744466,0.577340,-446.020203,112.489975,264.385040,-1.291348,2.414323,0.000536,-372.343933,-167.384262,-307.360077
15,0,-0.605718,2.471379,-0.244427,-521.782532,-73.416214,-67.005165,-1.616820,0.746311,0.573458,-446.006317,112.482712,264.375702,-1.290986,2.414155,0.000496,-372.333618,-167.367874,-307.380737
16,0,-0.605421,2.471200,-0.244304,-521.772766,-73.415337,-67.009735,-1.627780,0.743991,0.578338,-445.999084,112.479797,264.368286,-1.291401,2.414731,0.000321,-372.329254,-167.351425,-307.395905
17,0,-0.605621,2.471309,-0.244050,-521.759827,-73.414063,-67.021782,-1.644328,0.740425,0.585540,-445.983521,112.470047,264.364075,-1.291459,2.414655,0.000422,-372.329071,-167.338409,-307.404694
18,0,-0.605843,2.471394,-0.244057,-521.747742,-73.415421,-67.028442,-1.631137,0.743193,0.579794,-445.969482,112.464806,264.363617,-1.291261,2.414522,0.000116,-372.322723,-167.325638,-307.422333
