Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.735095,2.462189,-0.239563,-495.895935,-63.796452,-73.381416,-1.921278,0.244799,0.648073,-481.396362,98.857101,270.475098,-1.466880,2.212246,0.986545,-346.456604,-129.479752,-350.100983
2,0,-0.734538,2.461743,-0.239828,-495.847656,-63.840748,-73.365501,-1.927446,0.242786,0.649123,-481.388245,98.859184,270.470886,-1.467135,2.211718,0.986461,-346.380341,-129.543289,-350.078033
3,0,-0.734559,2.461385,-0.239612,-495.809570,-63.887119,-73.345695,-1.935742,0.239953,0.650836,-481.388092,98.859886,270.467529,-1.467941,2.211664,0.986744,-346.315369,-129.602966,-350.046539
4,0,-0.734711,2.461169,-0.239986,-495.765533,-63.941120,-73.321411,-1.935888,0.239878,0.650707,-481.376617,98.862534,270.464630,-1.468165,2.211719,0.986462,-346.259003,-129.678741,-350.010223
5,0,-0.735517,2.461317,-0.239929,-495.732697,-63.995853,-73.290192,-1.940914,0.238130,0.651658,-481.377350,98.861603,270.464478,-1.468844,2.211709,0.986116,-346.203247,-129.749603,-349.963074
6,0,-0.735932,2.461175,-0.239978,-495.693451,-64.051620,-73.270470,-1.926807,0.242574,0.648983,-481.371643,98.860580,270.461243,-1.469138,2.212201,0.985370,-346.166351,-129.836807,-349.906158
7,0,-0.736558,2.461005,-0.239993,-495.664185,-64.108284,-73.235519,-1.940418,0.238152,0.651540,-481.370972,98.859795,270.462372,-1.468911,2.212465,0.985250,-346.114685,-129.910477,-349.860809
8,0,-0.737694,2.461384,-0.239619,-495.617432,-64.162727,-73.215347,-1.923098,0.243591,0.648248,-481.363342,98.861229,270.459106,-1.469905,2.212399,0.985085,-346.055969,-129.980270,-349.812408
9,0,-0.738186,2.461426,-0.240030,-495.580078,-64.219444,-73.185440,-1.938156,0.238624,0.651107,-481.360962,98.862419,270.464172,-1.470412,2.212308,0.985784,-345.982056,-130.050949,-349.777039
10,0,-0.738982,2.461535,-0.239984,-495.541046,-64.276543,-73.158020,-1.939833,0.238003,0.651359,-481.349915,98.867050,270.455750,-1.470884,2.212234,0.986043,-345.902313,-130.124527,-349.743744
11,0,-0.739098,2.461118,-0.240013,-495.498505,-64.333603,-73.131012,-1.931075,0.240691,0.649740,-481.351563,98.863754,270.462250,-1.470985,2.211868,0.985493,-345.820587,-130.200836,-349.705444
12,0,-0.739295,2.461231,-0.240011,-495.452728,-64.389664,-73.104652,-1.931238,0.240539,0.649763,-481.340454,98.871803,270.457275,-1.471188,2.211750,0.985463,-345.729950,-130.277023,-349.666748
13,0,-0.739480,2.461336,-0.240767,-495.398804,-64.440781,-73.084961,-1.935347,0.239185,0.650541,-481.336212,98.869156,270.463135,-1.471517,2.211514,0.985376,-345.650116,-130.347397,-349.630859
14,0,-0.739681,2.461189,-0.240785,-495.355194,-64.503792,-73.056793,-1.935746,0.238892,0.650599,-481.333618,98.875542,270.463562,-1.472397,2.211306,0.984945,-345.586243,-130.425812,-349.575897
15,0,-0.739983,2.461052,-0.241098,-495.310089,-64.560631,-73.024033,-1.936697,0.238485,0.650791,-481.326416,98.873909,270.463562,-1.472470,2.211409,0.984681,-345.526459,-130.511093,-349.523102
16,0,-0.739947,2.461152,-0.241273,-495.262360,-64.618668,-72.992714,-1.933323,0.239492,0.650159,-481.316956,98.877571,270.467377,-1.473449,2.211892,0.984510,-345.485931,-130.595795,-349.463501
17,0,-0.739791,2.460732,-0.241457,-495.210388,-64.673012,-72.966209,-1.931131,0.240043,0.649792,-481.310394,98.878082,270.471191,-1.473885,2.212332,0.983420,-345.418976,-130.681656,-349.404694
18,0,-0.739598,2.460221,-0.241741,-495.161499,-64.729927,-72.941269,-1.927675,0.241056,0.649168,-481.304016,98.882248,270.473022,-1.473404,2.212462,0.983550,-345.347931,-130.771591,-349.349426
19,0,-0.739417,2.460303,-0.242402,-495.107208,-64.788414,-72.911728,-1.935356,0.238527,0.650591,-481.292786,98.889359,270.470581,-1.474133,2.212320,0.984429,-345.264099,-130.847626,-349.310577
