Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.506038,3.831197,-1.076591,-330.753784,-96.338356,88.803162,-0.696567,2.640696,-2.593449,-456.904053,88.999107,199.410583,3.032670,-0.444710,1.949193,-153.073776,1.058873,134.904312
2,0,0.513544,3.826854,-1.075458,-330.255371,-96.683861,89.954048,-0.718044,2.572340,-2.640517,-456.557770,89.084488,199.641968,3.026128,-0.444488,1.958911,-152.518234,0.421974,136.643280
3,0,0.519284,3.821652,-1.072679,-329.731049,-97.012878,91.092667,-0.738888,2.499938,-2.688468,-456.206329,89.123856,199.818420,3.021469,-0.445196,1.964430,-151.996445,-0.230665,138.410889
4,0,0.525034,3.816435,-1.072100,-329.262421,-97.357483,92.248863,-0.758895,2.428144,-2.732377,-455.876221,89.182693,200.057358,3.012515,-0.446096,1.974322,-151.462296,-0.879260,140.144653
5,0,0.530492,3.812639,-1.070836,-328.754456,-97.702850,93.389145,-0.776194,2.362477,-2.769926,-455.515961,89.252327,200.282501,3.008504,-0.446651,1.980453,-150.950577,-1.534817,141.917999
6,0,0.538673,3.808515,-1.070142,-328.242340,-98.033112,94.553406,-0.791854,2.299540,-2.805090,-455.153992,89.300262,200.475372,3.003898,-0.447006,1.984877,-150.429718,-2.196580,143.675079
7,0,0.543562,3.804427,-1.067797,-327.731812,-98.380966,95.706062,-0.805861,2.246521,-2.832633,-454.862213,89.378334,200.687866,2.999701,-0.447047,1.992106,-149.901260,-2.858732,145.439911
8,0,0.549580,3.799235,-1.067213,-327.240997,-98.715790,96.870850,-0.824302,2.165679,-2.872092,-454.474976,89.431984,200.915710,2.996888,-0.446984,1.996812,-149.396133,-3.526179,147.218536
9,0,0.556032,3.794620,-1.065951,-326.733521,-99.052650,98.026581,-0.837233,2.106805,-2.899893,-454.129547,89.476273,201.121735,2.990284,-0.447031,2.004801,-148.865143,-4.186067,148.972275
10,0,0.561578,3.790645,-1.063979,-326.224640,-99.384155,99.185684,-0.884896,1.892067,-2.986953,-453.783752,89.543854,201.337646,2.985088,-0.448404,2.011424,-148.334763,-4.852045,150.742050
11,0,0.567009,3.786345,-1.062087,-325.729919,-99.720413,100.347351,-0.849443,2.042277,-2.928674,-453.422546,89.599457,201.570709,2.979460,-0.448986,2.016908,-147.825150,-5.521359,152.503967
12,0,0.573287,3.781342,-1.059364,-325.218018,-100.044586,101.501022,-0.834593,2.100870,-2.903676,-453.073578,89.654335,201.785782,2.975480,-0.449483,2.023497,-147.319870,-6.194266,154.290741
13,0,0.580588,3.775847,-1.058460,-324.715210,-100.370552,102.675888,-0.842153,2.058677,-2.922740,-452.691925,89.712952,202.011826,2.966732,-0.450119,2.034430,-146.784103,-6.844371,156.029846
14,0,0.585727,3.772152,-1.058371,-324.189789,-100.701752,103.818672,-0.844341,2.043121,-2.929682,-452.326721,89.774292,202.242218,2.963081,-0.450505,2.038694,-146.276672,-7.519318,157.825302
15,0,0.591944,3.767760,-1.059852,-323.713776,-101.027771,105.003365,-0.831292,2.095221,-2.907201,-451.985596,89.842476,202.451263,2.959294,-0.450775,2.044917,-145.734283,-8.180967,159.577881
16,0,0.597494,3.763141,-1.057288,-323.207916,-101.359032,106.171936,-0.783754,2.271377,-2.822822,-451.595795,89.881126,202.676132,2.952319,-0.451521,2.052430,-145.212646,-8.845412,161.349197
17,0,0.605636,3.757654,-1.055949,-322.704529,-101.680565,107.357788,-0.803079,2.191187,-2.863535,-451.238831,89.941948,202.913757,2.951123,-0.451330,2.055351,-144.749283,-9.521408,163.144028
18,0,0.609721,3.754288,-1.053468,-322.185425,-101.999893,108.512650,-0.776933,2.283834,-2.817184,-450.870575,89.994118,203.126953,2.942706,-0.452331,2.066438,-144.243866,-10.183028,164.888794
19,0,0.614695,3.750247,-1.052513,-321.698151,-102.327904,109.699303,-0.693614,2.561406,-2.651439,-450.511444,90.048721,203.347992,2.939305,-0.452479,2.070466,-143.740173,-10.852841,166.692505
20,0,0.619758,3.745563,-1.050147,-321.179077,-102.648872,110.871681,-0.744889,2.388070,-2.759977,-450.151520,90.105659,203.566467,2.933977,-0.453567,2.076995,-143.221893,-11.522363,168.446884
21,0,0.627904,3.740157,-1.048416,-320.668579,-102.968193,112.051483,-0.774191,2.275141,-2.822949,-449.760223,90.158707,203.789536,2.929930,-0.454129,2.082397,-142.685837,-12.178514,170.219711
22,0,0.631148,3.736213,-1.047958,-320.164886,-103.290184,113.227371,-0.659503,2.647943,-2.591554,-449.387878,90.212234,204.033691,2.921835,-0.455023,2.091518,-142.163864,-12.847330,171.987213
23,0,0.637675,3.732133,-1.048160,-319.682556,-103.616402,114.426346,-0.702000,2.512237,-2.684539,-449.045624,90.263443,204.247177,2.915699,-0.455882,2.100133,-141.648331,-13.510467,173.735016
24,0,0.643733,3.726428,-1.046005,-319.138336,-103.925537,115.604553,-0.739818,2.382112,-2.764634,-448.679596,90.328323,204.461075,2.913412,-0.456835,2.103184,-141.178497,-14.183281,175.539795
25,0,0.649517,3.721953,-1.043993,-318.633667,-104.246559,116.797256,-0.588592,2.830483,-2.448506,-448.280853,90.374283,204.716766,2.905612,-0.457613,2.111550,-140.646240,-14.831322,177.285767
26,0,0.652325,3.718368,-1.040789,-318.147766,-104.571701,117.975983,-0.613486,2.757349,-2.508598,-447.911407,90.415688,204.934830,2.902162,-0.458865,2.116524,-140.160233,-15.494559,179.063004
27,0,0.657761,3.713983,-1.040172,-317.639618,-104.881256,119.166710,-0.669568,2.593620,-2.630680,-447.560547,90.482033,205.131943,2.895633,-0.459842,2.122908,-139.656036,-16.138132,180.833313
28,0,0.663491,3.708541,-1.038783,-317.118652,-105.196846,120.367073,-0.593844,2.803082,-2.471811,-447.182251,90.529358,205.383713,2.891293,-0.459292,2.129582,-139.143539,-16.809263,182.595184
29,0,0.669596,3.705202,-1.039803,-316.613556,-105.503677,121.556732,-0.628338,2.703061,-2.550747,-446.824677,90.590942,205.618988,2.886114,-0.460519,2.135955,-138.623367,-17.454744,184.348572
30,0,0.673294,3.700641,-1.037536,-316.112488,-105.806435,122.744820,-0.638184,2.669785,-2.576150,-446.415344,90.636276,205.817123,2.881764,-0.459692,2.140703,-138.134125,-18.123684,186.132660
31,0,0.679164,3.695024,-1.035782,-315.607941,-106.113266,123.938293,-0.614372,2.730968,-2.529755,-446.050079,90.684799,206.047379,2.875341,-0.462095,2.148465,-137.632141,-18.771465,187.883987
32,0,0.686608,3.690665,-1.032366,-315.097870,-106.415283,125.126373,-0.601844,2.762281,-2.504214,-445.680084,90.749466,206.285950,2.866313,-0.461668,2.157155,-137.106903,-19.437737,189.632324
33,0,0.689983,3.686950,-1.031209,-314.591553,-106.711525,126.331551,-0.567731,2.849159,-2.431765,-445.291199,90.782043,206.489716,2.861914,-0.462264,2.161982,-136.587906,-20.085218,191.406342
34,0,0.694929,3.682180,-1.031097,-314.096252,-107.001160,127.545509,-0.582996,2.803514,-2.470696,-444.924194,90.833771,206.714325,2.859122,-0.461817,2.166787,-136.096237,-20.750181,193.170517
35,0,0.701984,3.677012,-1.029325,-313.574280,-107.298569,128.743866,-0.552170,2.879021,-2.404896,-444.535156,90.896004,206.971619,2.851734,-0.461929,2.173894,-135.575058,-21.390640,194.917252
36,0,0.708372,3.672842,-1.027861,-313.072479,-107.593536,129.935196,-0.549825,2.879121,-2.405032,-444.135925,90.929642,207.196167,2.847184,-0.462125,2.180305,-135.114227,-22.045071,196.701508
37,0,0.711698,3.667648,-1.026354,-312.572052,-107.883545,131.126373,-0.470538,3.063534,-2.224628,-443.780426,90.988319,207.422607,2.840584,-0.463319,2.187359,-134.603165,-22.692137,198.438934
38,0,0.718222,3.662923,-1.023945,-312.089722,-108.171692,132.343842,-0.452247,3.098892,-2.185770,-443.384277,91.041191,207.671997,2.835573,-0.464407,2.190298,-134.102417,-23.332685,200.206451
39,0,0.724015,3.659025,-1.022860,-311.558044,-108.451897,133.543030,-0.476478,3.041921,-2.247440,-443.022888,91.082527,207.887360,2.829161,-0.465861,2.196902,-133.573166,-23.962610,201.960220
40,0,0.729922,3.654936,-1.021639,-311.060455,-108.733528,134.749252,-0.461967,3.069110,-2.218527,-442.629181,91.130997,208.110794,2.823437,-0.465790,2.204090,-133.083755,-24.613682,203.698380
41,0,0.734836,3.649525,-1.019954,-310.558228,-109.006683,135.960602,-0.407975,3.177235,-2.094609,-442.197266,91.185753,208.380188,2.816249,-0.466256,2.211081,-132.557922,-25.238157,205.456421
42,0,0.739632,3.646125,-1.011911,-310.098297,-109.441872,137.190521,-0.467616,3.049489,-2.238528,-441.892090,91.247292,208.605957,2.810462,-0.466378,2.217456,-132.048660,-25.881445,207.195129
43,0,0.747884,3.641459,-1.011484,-309.591095,-109.715881,138.399872,-0.423181,3.140563,-2.137681,-441.466797,91.292595,208.827545,2.806373,-0.468021,2.220914,-131.545273,-26.512140,208.958038
44,0,0.752287,3.636951,-1.009984,-309.082306,-109.968491,139.617981,-0.319928,3.333062,-1.889138,-441.086212,91.336609,209.092239,2.800089,-0.468583,2.225889,-131.051605,-27.154507,210.713318
45,0,0.755878,3.633534,-1.008845,-308.587708,-110.233788,140.819916,-0.405294,3.167918,-2.104858,-440.687897,91.382195,209.318680,2.790657,-0.469595,2.235500,-130.542892,-27.786051,212.434448
46,0,0.762921,3.629179,-1.005556,-308.094513,-110.508934,142.020996,-0.365096,3.242506,-2.011363,-440.278534,91.436508,209.571365,2.790026,-0.469707,2.236273,-130.077255,-28.426651,214.204361
47,0,0.768391,3.623673,-1.003019,-307.554260,-110.754929,143.221222,-0.366044,3.238841,-2.015679,-439.937164,91.498535,209.807053,2.784222,-0.469371,2.241092,-129.574188,-29.066730,215.938141
48,0,0.772099,3.620534,-1.003509,-307.072296,-111.007729,144.435806,-0.318241,3.321174,-1.903278,-439.530121,91.529373,210.041046,2.778131,-0.470826,2.247824,-129.076569,-29.688774,217.671967
49,0,0.777236,3.617260,-1.002820,-306.578674,-111.262215,145.647446,-0.214841,3.485050,-1.640898,-439.137695,91.584068,210.302979,2.753938,-0.472582,2.273333,-128.345169,-30.233257,219.376175
50,0,0.783111,3.611457,-0.999362,-306.052765,-111.508476,146.853104,-0.318913,3.313009,-1.913499,-438.754944,91.643799,210.552521,2.747999,-0.473524,2.277806,-127.838600,-30.848852,221.111023
51,0,0.787903,3.607367,-0.996187,-305.537872,-111.743904,148.043839,-0.247278,3.429203,-1.734318,-438.387299,91.695953,210.800827,2.743098,-0.474993,2.283394,-127.318558,-31.465891,222.833206
52,0,0.792679,3.603978,-0.996753,-305.067627,-111.999901,149.268845,-0.272447,3.385096,-1.804146,-437.945892,91.738213,211.032684,2.735785,-0.474973,2.288532,-126.821190,-32.097748,224.543625
53,0,0.798242,3.598852,-0.995221,-304.556458,-112.236870,150.502945,-0.198771,3.495344,-1.617321,-437.593536,91.792305,211.277313,2.729718,-0.475761,2.294437,-126.327950,-32.717171,226.282211
54,0,0.804712,3.595373,-0.992310,-304.042877,-112.469177,151.695831,-0.157883,3.548109,-1.513023,-437.214722,91.834892,211.552811,2.721740,-0.476937,2.302200,-125.827965,-33.331421,227.981125
55,0,0.808184,3.591962,-0.990243,-303.535034,-112.694275,152.895966,-0.275385,3.371577,-1.822179,-436.808411,91.894943,211.785980,2.716458,-0.477992,2.305093,-125.313919,-33.947521,229.706757
56,0,0.812224,3.586793,-0.988573,-303.042725,-112.919907,154.128479,-0.231331,3.439258,-1.712226,-436.433289,91.942451,212.031387,2.712480,-0.478682,2.309116,-124.830925,-34.574329,231.433334
57,0,0.819857,3.584354,-0.989246,-302.525146,-113.143158,155.335999,-0.211143,3.464818,-1.666102,-436.010529,91.989243,212.309006,2.705514,-0.479906,2.314546,-124.333977,-35.182720,233.130142
58,0,0.823919,3.579790,-0.986413,-302.002502,-113.360001,156.534515,-0.141621,3.558825,-1.484364,-435.608276,92.037636,212.537201,2.699745,-0.480642,2.318713,-123.854324,-35.799278,234.863647
59,0,0.828286,3.574799,-0.982913,-301.513580,-113.582191,157.745865,-0.114327,3.588520,-1.417132,-435.192871,92.077042,212.801437,2.693837,-0.480733,2.323941,-123.351891,-36.416473,236.555389
60,0,0.833333,3.573237,-0.983124,-300.988739,-113.773186,158.952011,-0.189945,3.488788,-1.618723,-434.872284,92.150505,213.074127,2.689469,-0.482780,2.327401,-122.852867,-37.013016,238.270386
61,0,0.837812,3.568864,-0.982001,-300.467468,-113.984894,160.159180,-0.084525,3.619542,-1.341660,-434.422668,92.186859,213.302216,2.681183,-0.483520,2.333557,-122.345154,-37.629532,239.972198
62,0,0.843755,3.563891,-0.979355,-299.974030,-114.192612,161.366730,-0.074924,3.627902,-1.317855,-434.037170,92.242004,213.573837,2.676091,-0.484645,2.337786,-121.842651,-38.227501,241.658173
63,0,0.846774,3.560955,-0.977419,-299.441437,-114.383530,162.547943,-0.140412,3.546812,-1.499247,-433.643341,92.292404,213.841049,2.668462,-0.487078,2.343381,-121.334770,-38.829426,243.360413
