Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.449773,2.426035,-0.294336,-520.741760,-83.595940,-70.086349,-1.776591,0.043271,0.266342,-474.479828,84.585960,278.900269,-1.955472,2.205033,0.672445,-332.995209,-156.398911,-316.094574
2,0,-0.449416,2.425952,-0.294364,-520.757996,-83.604088,-70.091537,-1.751509,0.047043,0.265881,-474.490875,84.557487,278.892914,-1.955128,2.205265,0.671827,-333.001923,-156.448990,-316.083984
3,0,-0.449430,2.426078,-0.294721,-520.768127,-83.610970,-70.104393,-1.741987,0.048539,0.265637,-474.502747,84.532875,278.895203,-1.955022,2.205512,0.671360,-333.022034,-156.496460,-316.071960
4,0,-0.448998,2.426335,-0.295054,-520.786438,-83.617516,-70.099754,-1.741647,0.048758,0.265389,-474.515381,84.508408,278.896851,-1.961680,2.228458,0.648859,-333.450989,-157.106979,-315.632355
5,0,-0.448629,2.426273,-0.295361,-520.799194,-83.623886,-70.111725,-1.736106,0.049681,0.265150,-474.527283,84.483109,278.894257,-1.961493,2.228536,0.648570,-333.454834,-157.157639,-315.623352
6,0,-0.448714,2.426418,-0.295387,-520.816833,-83.632973,-70.107422,-1.735030,0.049961,0.264866,-474.541840,84.451515,278.892059,-1.959949,2.229478,0.647841,-333.461578,-157.189102,-315.605988
7,0,-0.448619,2.426676,-0.295648,-520.829468,-83.638351,-70.108994,-1.730208,0.050754,0.264700,-474.555206,84.427544,278.889313,-1.912947,2.225846,0.674585,-332.541870,-157.101120,-316.076233
8,0,-0.448775,2.426942,-0.295675,-520.847656,-83.641525,-70.108635,-1.727319,0.051278,0.264468,-474.568451,84.398872,278.886566,-1.912906,2.226140,0.673870,-332.552002,-157.147232,-316.063965
9,0,-0.448546,2.427074,-0.296125,-520.864258,-83.649025,-70.105133,-1.736192,0.050158,0.264416,-474.588684,84.368988,278.888214,-1.912121,2.226091,0.673847,-332.558777,-157.190445,-316.048157
10,0,-0.448720,2.427556,-0.296370,-520.878540,-83.652786,-70.110497,-1.739111,0.049881,0.264282,-474.602386,84.338585,278.884613,-1.912162,2.226068,0.673732,-332.566772,-157.230637,-316.050385
11,0,-0.448373,2.427536,-0.296593,-520.894043,-83.653023,-70.113914,-1.737368,0.050284,0.264068,-474.619110,84.311829,278.886627,-1.911724,2.226365,0.673433,-332.579193,-157.277618,-316.027679
12,0,-0.448319,2.427732,-0.297103,-520.913513,-83.659706,-70.111366,-1.735994,0.050622,0.263825,-474.632294,84.286324,278.880066,-1.911376,2.226581,0.672758,-332.592712,-157.322311,-316.018524
13,0,-0.448065,2.428112,-0.297954,-520.922913,-83.663902,-70.114609,-1.737712,0.050505,0.263626,-474.647156,84.261368,278.878326,-1.911662,2.226987,0.672123,-332.605133,-157.368713,-316.008331
14,0,-0.447978,2.428287,-0.298615,-520.944214,-83.668427,-70.107338,-1.733116,0.051261,0.263301,-474.663849,84.232742,278.878265,-1.911366,2.227157,0.671773,-332.611267,-157.415085,-315.990021
15,0,-0.447761,2.428456,-0.298554,-520.958313,-83.669601,-70.113022,-1.736401,0.050946,0.263178,-474.677307,84.208496,278.874359,-1.911139,2.226830,0.671687,-332.625122,-157.459396,-315.977661
16,0,-0.447718,2.428479,-0.298603,-520.969849,-83.668846,-70.117111,-1.728146,0.052265,0.262930,-474.690460,84.179749,278.874512,-1.910995,2.227050,0.671270,-332.632294,-157.500900,-315.968292
17,0,-0.447410,2.428759,-0.299364,-520.982849,-83.669518,-70.121529,-1.735856,0.051334,0.262809,-474.712250,84.151527,278.871033,-1.910686,2.227275,0.670468,-332.646149,-157.541504,-315.955231
18,0,-0.447254,2.428612,-0.299087,-520.997192,-83.670517,-70.121323,-1.723410,0.053279,0.262309,-474.725281,84.126213,278.869232,-1.910399,2.227355,0.670332,-332.660767,-157.591583,-315.937744
19,0,-0.447228,2.428935,-0.299880,-521.016052,-83.676071,-70.124847,-1.722267,0.053605,0.262116,-474.742035,84.100937,278.868378,-1.910257,2.227532,0.669678,-332.671112,-157.638474,-315.924774
20,0,-0.446560,2.428887,-0.299980,-521.032776,-83.677757,-70.127609,-1.731890,0.052345,0.262038,-474.760254,84.077919,278.864410,-1.910237,2.227803,0.669336,-332.687622,-157.685913,-315.905670
21,0,-0.446694,2.429150,-0.300255,-521.054626,-83.686394,-70.125641,-1.733871,0.052253,0.261829,-474.773438,84.053642,278.859314,-1.909840,2.227783,0.669228,-332.690063,-157.727295,-315.901367
22,0,-0.446543,2.429158,-0.300649,-521.074829,-83.694313,-70.129547,-1.728415,0.053155,0.261482,-474.791840,84.022682,278.857941,-1.909775,2.227697,0.668805,-332.700836,-157.768295,-315.893341
23,0,-0.446218,2.429534,-0.301119,-521.087402,-83.690071,-70.140244,-1.739626,0.051741,0.261459,-474.807495,83.999222,278.856506,-1.909564,2.228184,0.668057,-332.720154,-157.813248,-315.877838
24,0,-0.446269,2.429565,-0.301249,-521.104004,-83.693810,-70.155022,-1.735552,0.052478,0.261026,-474.821686,83.976624,278.851227,-1.909285,2.228414,0.667538,-332.734161,-157.856323,-315.865356
25,0,-0.446111,2.429541,-0.301548,-521.125488,-83.698685,-70.154282,-1.733224,0.052937,0.260702,-474.838165,83.953590,278.846191,-1.908765,2.228475,0.667512,-332.746002,-157.907272,-315.855865
26,0,-0.446060,2.429603,-0.301723,-521.145630,-83.699188,-70.163765,-1.735031,0.052842,0.260438,-474.853943,83.930191,278.842957,-1.908574,2.228674,0.667098,-332.765991,-157.953842,-315.834381
27,0,-0.445901,2.429783,-0.302083,-521.165649,-83.699989,-70.170158,-1.732571,0.053359,0.260154,-474.867523,83.902939,278.839539,-1.908005,2.228720,0.667020,-332.778168,-157.996628,-315.821198
28,0,-0.446126,2.429973,-0.302210,-521.188660,-83.699951,-70.176796,-1.731940,0.053651,0.259855,-474.886902,83.877495,278.841553,-1.907912,2.228951,0.666556,-332.792450,-158.039383,-315.814087
29,0,-0.445907,2.430067,-0.302505,-521.211182,-83.708992,-70.178062,-1.730797,0.054015,0.259599,-474.899323,83.851051,278.835114,-1.907332,2.229329,0.666125,-332.811371,-158.087250,-315.792694
30,0,-0.445947,2.430081,-0.302366,-521.228027,-83.703239,-70.191650,-1.731131,0.054185,0.259314,-474.913086,83.821205,278.829926,-1.907082,2.229336,0.665710,-332.829468,-158.133926,-315.782837
31,0,-0.445889,2.430209,-0.302629,-521.250305,-83.705116,-70.200470,-1.732837,0.054160,0.259059,-474.933807,83.776436,278.824249,-1.906992,2.229927,0.665138,-332.838745,-158.173050,-315.778229
32,0,-0.446067,2.430423,-0.302768,-521.274658,-83.709641,-70.200859,-1.746651,0.052366,0.259023,-474.945435,83.720245,278.816864,-1.906253,2.230096,0.664819,-332.858643,-158.222504,-315.756714
33,0,-0.445762,2.430592,-0.303209,-521.298645,-83.711090,-70.206734,-1.745867,0.052635,0.258642,-474.961151,83.647186,278.805908,-1.905679,2.230455,0.664052,-332.879913,-158.272202,-315.735840
34,0,-0.446452,2.430686,-0.302921,-521.329651,-83.712685,-70.200920,-1.751739,0.051943,0.258412,-474.970551,83.563271,278.794617,-1.905593,2.230400,0.664074,-332.896820,-158.314697,-315.717346
35,0,-0.446541,2.430556,-0.302959,-521.359558,-83.717178,-70.197159,-1.753658,0.051753,0.257898,-474.982391,83.479919,278.788177,-1.905090,2.230574,0.663766,-332.905640,-158.356186,-315.708588
36,0,-0.446467,2.430819,-0.303436,-521.387024,-83.714851,-70.202408,-1.758572,0.051092,0.257253,-475.000549,83.390114,278.785248,-1.904426,2.230546,0.664099,-332.923096,-158.400726,-315.690125
37,0,-0.446540,2.431180,-0.303651,-521.412598,-83.714867,-70.205093,-1.765402,0.050078,0.256606,-475.015656,83.301407,278.776428,-1.903897,2.230792,0.663710,-332.941498,-158.444168,-315.679352
38,0,-0.447493,2.431431,-0.303572,-521.449951,-83.715263,-70.196838,-1.758994,0.050997,0.255519,-475.030396,83.224480,278.765350,-1.902932,2.231075,0.663334,-332.964417,-158.495667,-315.652893
39,0,-0.447282,2.431679,-0.304525,-521.475464,-83.712639,-70.194893,-1.754249,0.051807,0.254511,-475.042572,83.143463,278.760529,-1.902436,2.231154,0.663373,-332.980957,-158.545212,-315.631470
40,0,-0.447545,2.431939,-0.304651,-521.510864,-83.712372,-70.183472,-1.752201,0.052105,0.253429,-475.067444,83.059418,278.760376,-1.901947,2.231385,0.662894,-333.001282,-158.585999,-315.613373
41,0,-0.447716,2.432081,-0.304788,-521.537476,-83.710602,-70.183769,-1.746842,0.053016,0.252279,-475.091919,82.989548,278.753754,-1.901686,2.231614,0.662379,-333.025970,-158.632141,-315.593628
