Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.590059,2.460859,-0.243509,-524.150513,-64.258530,-63.704029,-1.779533,0.007461,0.190976,-485.355591,91.473640,284.538391,-2.005676,2.346292,0.592591,-347.011139,-125.254974,-318.517670
2,0,-0.589718,2.460549,-0.243940,-524.112488,-64.285851,-63.671345,-1.783604,0.006911,0.190937,-485.354523,91.486809,284.554382,-2.005824,2.346208,0.592652,-346.937897,-125.284943,-318.478149
3,0,-0.589076,2.460411,-0.244352,-524.071716,-64.311050,-63.654228,-1.783381,0.006885,0.190943,-485.353088,91.503098,284.561432,-2.005567,2.346138,0.593024,-346.862366,-125.321198,-318.425781
4,0,-0.589053,2.460066,-0.244459,-524.026428,-64.334198,-63.631622,-1.781162,0.006986,0.190937,-485.353516,91.515396,284.575134,-2.005225,2.345931,0.593194,-346.781677,-125.351860,-318.385437
5,0,-0.588177,2.459791,-0.244875,-523.982422,-64.361687,-63.609077,-1.782659,0.006681,0.190948,-485.352295,91.528267,284.589661,-1.991518,2.349469,0.600455,-346.566681,-125.519943,-318.343475
6,0,-0.587793,2.459112,-0.245063,-523.934387,-64.383110,-63.587814,-1.776968,0.007261,0.191043,-485.347900,91.549034,284.597046,-1.991738,2.349530,0.600330,-346.484497,-125.549126,-318.301727
7,0,-0.588113,2.459087,-0.245122,-523.895386,-64.414230,-63.558689,-1.775500,0.007298,0.191121,-485.345367,91.565781,284.610199,-1.991892,2.349267,0.600376,-346.411194,-125.577110,-318.255951
8,0,-0.588063,2.458959,-0.245408,-523.842590,-64.437820,-63.540890,-1.774527,0.007269,0.191164,-485.347931,91.577217,284.623596,-1.992276,2.349489,0.599620,-346.347839,-125.607681,-318.204071
9,0,-0.588079,2.458994,-0.245640,-523.799500,-64.462914,-63.517845,-1.774858,0.007085,0.191122,-485.342712,91.597511,284.636993,-1.993295,2.349713,0.598776,-346.289063,-125.642700,-318.149292
10,0,-0.588558,2.458742,-0.245308,-523.754150,-64.495918,-63.489517,-1.775895,0.006803,0.191176,-485.337952,91.614326,284.644440,-1.994136,2.349122,0.598536,-346.212646,-125.665321,-318.118652
11,0,-0.588727,2.458766,-0.245920,-523.700317,-64.523109,-63.465790,-1.773375,0.006903,0.191115,-485.335510,91.634880,284.658081,-1.994893,2.349115,0.597519,-346.140137,-125.695778,-318.075928
12,0,-0.589149,2.458833,-0.245963,-523.652100,-64.551170,-63.435772,-1.780125,0.005978,0.191026,-485.335663,91.653458,284.672485,-1.995656,2.349035,0.596889,-346.073730,-125.729057,-318.017059
