Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.929883,2.377789,-0.126981,-512.851257,-70.670341,-92.536888,3.649576,-0.484794,-1.580382,-484.937469,98.517151,244.915390,-1.534418,2.154745,0.800581,-350.217438,-110.816902,-363.031372
2,0,-0.929734,2.377675,-0.127210,-512.848206,-70.664124,-92.532600,3.681448,-0.541005,-1.607551,-484.922882,98.528572,244.915070,-1.534435,2.154905,0.800257,-350.229614,-110.828148,-363.030151
3,0,-0.930205,2.377816,-0.126949,-512.851318,-70.661629,-92.519424,3.711879,-0.599203,-1.635001,-484.918182,98.532387,244.919724,-1.534352,2.154575,0.800449,-350.234680,-110.841187,-363.029694
4,0,-0.930385,2.377498,-0.126815,-512.848450,-70.656128,-92.512589,3.741004,-0.659614,-1.662290,-484.908997,98.537903,244.919403,-1.534194,2.154913,0.799837,-350.247498,-110.845818,-363.029083
5,0,-0.930677,2.377671,-0.126995,-512.849243,-70.657990,-92.499786,3.768512,-0.722310,-1.689401,-484.903015,98.542473,244.921692,-1.534323,2.154850,0.800056,-350.258148,-110.860252,-363.021545
6,0,-0.930469,2.377787,-0.127061,-512.842224,-70.650101,-92.494926,3.794333,-0.787191,-1.716431,-484.892822,98.549026,244.922668,-1.534352,2.154922,0.799846,-350.268433,-110.874046,-363.015564
7,0,-0.930751,2.377834,-0.127300,-512.839844,-70.651260,-92.485199,3.818295,-0.854471,-1.743638,-484.891205,98.548477,244.928528,-1.534515,2.154876,0.800101,-350.282135,-110.884995,-363.005096
8,0,-0.930827,2.377759,-0.127046,-512.841980,-70.648270,-92.472099,3.836138,-0.910564,-1.765295,-484.894989,98.579323,244.916382,-1.534362,2.154844,0.800081,-350.286621,-110.894073,-363.006104
9,0,-0.930767,2.377717,-0.127393,-512.835938,-70.636734,-92.466438,3.852806,-0.968337,-1.786805,-484.886841,98.581497,244.923218,-1.534381,2.154991,0.799858,-350.298309,-110.908730,-362.994598
10,0,-0.930830,2.377847,-0.127828,-512.839783,-70.640747,-92.453430,3.867108,-1.024974,-1.807377,-484.883514,98.588684,244.925217,-1.534514,2.155060,0.799772,-350.311646,-110.918839,-362.988647
11,0,-0.931155,2.378021,-0.127601,-512.836182,-70.638084,-92.442352,3.880143,-1.082003,-1.827387,-484.880524,98.592346,244.929138,-1.534352,2.155066,0.799659,-350.318878,-110.930939,-362.982605
12,0,-0.931265,2.378062,-0.128019,-512.834106,-70.636353,-92.434952,3.892610,-1.146088,-1.848804,-484.871582,98.591415,244.936554,-1.534382,2.155097,0.799522,-350.320648,-110.936165,-362.982697
13,0,-0.931160,2.378232,-0.127817,-512.838501,-70.636391,-92.416924,3.902840,-1.209261,-1.869445,-484.866455,98.594139,244.941681,-1.534593,2.155272,0.799462,-350.335114,-110.949196,-362.970032
14,0,-0.931637,2.378246,-0.127957,-512.836670,-70.631538,-92.406967,3.911324,-1.272363,-1.889040,-484.865173,98.602676,244.945679,-1.534627,2.155410,0.799356,-350.339661,-110.958626,-362.964172
15,0,-0.931237,2.378122,-0.127987,-512.831238,-70.623611,-92.397369,3.917659,-1.331981,-1.906852,-484.860687,98.612724,244.948547,-1.534585,2.155259,0.799529,-350.350769,-110.970863,-362.957031
16,0,-0.931416,2.378284,-0.128194,-512.825684,-70.621590,-92.387314,3.922309,-1.394627,-1.925108,-484.856415,98.617256,244.950684,-1.534485,2.155246,0.799524,-350.350586,-110.979141,-362.958527
17,0,-0.931773,2.378361,-0.128110,-512.829712,-70.622704,-92.378494,3.924355,-1.429419,-1.934640,-484.856384,98.624748,244.954834,-1.534629,2.155330,0.799398,-350.358765,-110.991013,-362.949371
18,0,-0.931885,2.378323,-0.128339,-512.822998,-70.613342,-92.369698,3.926332,-1.485386,-1.950222,-484.846558,98.630997,244.954163,-1.534762,2.155411,0.799343,-350.361237,-110.998924,-362.950165
19,0,-0.931681,2.378247,-0.128227,-512.819580,-70.609062,-92.363258,3.926974,-1.520988,-1.959296,-484.850983,98.634804,244.961655,-1.534641,2.155490,0.799272,-350.376740,-111.011002,-362.933258
20,0,-0.931854,2.378608,-0.128630,-512.818665,-70.607643,-92.348648,3.926821,-1.575224,-1.973338,-484.838135,98.646103,244.963974,-1.534249,2.155226,0.799547,-350.374542,-111.019958,-362.932190
21,0,-0.931693,2.378705,-0.128638,-512.813354,-70.602631,-92.343628,3.925418,-1.630993,-1.987203,-484.835480,98.648880,244.967636,-1.534528,2.155386,0.799280,-350.388092,-111.032997,-362.919800
22,0,-0.932378,2.378748,-0.128548,-512.815430,-70.604935,-92.329704,3.923208,-1.679118,-1.998557,-484.834900,98.666367,244.967514,-1.534538,2.155511,0.798989,-350.388519,-111.040764,-362.916534
23,0,-0.932188,2.378633,-0.128808,-512.807434,-70.599121,-92.325195,3.919853,-1.727056,-2.009887,-484.834015,98.667824,244.968994,-1.534879,2.155585,0.799340,-350.390717,-111.047905,-362.916443
24,0,-0.932081,2.378858,-0.129169,-512.804138,-70.591263,-92.309235,3.915542,-1.778959,-2.021360,-484.831909,98.677567,244.968674,-1.534696,2.155542,0.799121,-350.388184,-111.058098,-362.908417
25,0,-0.932388,2.378913,-0.129066,-512.797119,-70.584999,-92.309402,3.910781,-1.825121,-2.031305,-484.824036,98.684914,244.975372,-1.534781,2.155610,0.799044,-350.394073,-111.065834,-362.907379
26,0,-0.932706,2.378827,-0.128997,-512.797424,-70.582977,-92.296265,3.908381,-1.845095,-2.035500,-484.820587,98.699249,244.970886,-1.534795,2.155577,0.799054,-350.399353,-111.074005,-362.897919
27,0,-0.932633,2.378796,-0.129133,-512.789978,-70.576790,-92.291786,3.904440,-1.876155,-2.041822,-484.821381,98.712830,244.968277,-1.534938,2.155924,0.798977,-350.399597,-111.083382,-362.894196
28,0,-0.932869,2.379062,-0.129174,-512.789124,-70.576859,-92.279198,3.900447,-1.903947,-2.047706,-484.818512,98.717995,244.971024,-1.534938,2.155973,0.798794,-350.406769,-111.091049,-362.886780
29,0,-0.932490,2.379088,-0.129226,-512.786316,-70.565430,-92.277008,3.896490,-1.931348,-2.053002,-484.813202,98.725212,244.971771,-1.534726,2.155833,0.798869,-350.411346,-111.104790,-362.878235
30,0,-0.932735,2.378927,-0.129053,-512.783752,-70.567505,-92.267525,3.890627,-1.967772,-2.060081,-484.813049,98.734970,244.968109,-1.534832,2.155955,0.798867,-350.413116,-111.110733,-362.877777
31,0,-0.933006,2.379255,-0.129478,-512.781372,-70.562004,-92.263016,3.890694,-1.966985,-2.059976,-484.802002,98.753365,244.970276,-1.534936,2.156174,0.798582,-350.420197,-111.123154,-362.864807
