Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-1.377158,2.092527,-0.188370,-454.209747,-96.242012,-40.012180,-1.829136,0.291608,0.527595,-498.793243,140.917191,267.650604,0.525075,0.709897,0.078838,-300.941162,-60.643440,-340.280334
2,0,-1.378003,2.092536,-0.187768,-454.202576,-96.137260,-40.062992,-1.837016,0.289722,0.529047,-498.783234,140.939835,267.646057,0.530624,0.704719,0.078773,-301.102722,-60.393383,-340.323822
3,0,-1.379212,2.092382,-0.187490,-454.196564,-96.031639,-40.119968,-1.827473,0.292143,0.527398,-498.766357,140.966522,267.642670,0.531953,0.706716,0.080537,-301.256683,-60.060600,-340.462524
4,0,-1.380024,2.092497,-0.187147,-454.192535,-95.929680,-40.171299,-1.834287,0.290497,0.528675,-498.762115,140.987000,267.641754,0.532996,0.705656,0.080402,-301.382874,-59.766655,-340.580444
5,0,-1.381607,2.092521,-0.186918,-454.187286,-95.823448,-40.224949,-1.830715,0.291422,0.528077,-498.748962,141.014999,267.639191,0.532566,0.707223,0.080550,-301.562561,-59.477871,-340.697052
6,0,-1.382633,2.092538,-0.186793,-454.184814,-95.720833,-40.277180,-1.828413,0.291950,0.527718,-498.738739,141.039886,267.636261,0.532995,0.707606,0.080162,-301.733917,-59.203342,-340.770782
7,0,-1.384155,2.092577,-0.186063,-454.188232,-95.613609,-40.327381,-1.820010,0.294138,0.526197,-498.728058,141.062225,267.636017,0.533420,0.708992,0.081512,-301.882782,-58.883751,-340.911652
8,0,-1.384708,2.092594,-0.186363,-454.174744,-95.503639,-40.391365,-1.822036,0.293617,0.526649,-498.716400,141.088699,267.629364,0.534326,0.708374,0.081086,-302.006134,-58.565014,-341.060425
9,0,-1.385930,2.092580,-0.186337,-454.172882,-95.405449,-40.436028,-1.823063,0.293392,0.526847,-498.702759,141.114883,267.626648,0.534992,0.710396,0.082379,-302.230682,-58.286587,-341.119934
10,0,-1.387356,2.092587,-0.185449,-454.175629,-95.296959,-40.483788,-1.812881,0.295823,0.525046,-498.695831,141.139771,267.625763,0.536898,0.709333,0.081661,-302.370605,-58.006161,-341.206879
11,0,-1.388371,2.092519,-0.185362,-454.175140,-95.192963,-40.539429,-1.808133,0.297009,0.524146,-498.687866,141.163681,267.619263,0.535098,0.712635,0.082971,-302.498566,-57.665539,-341.412781
12,0,-1.389241,2.092244,-0.185052,-454.175507,-95.087631,-40.590546,-1.802941,0.298182,0.523246,-498.677063,141.186050,267.619110,0.535183,0.713784,0.083258,-302.693481,-57.364872,-341.536743
13,0,-1.390651,2.092043,-0.184660,-454.178192,-94.979553,-40.643387,-1.807520,0.297094,0.524202,-498.667999,141.211273,267.615509,0.537112,0.713346,0.083791,-302.895569,-57.100632,-341.566467
14,0,-1.391523,2.091801,-0.184246,-454.173706,-94.873756,-40.701260,-1.808489,0.296874,0.524391,-498.654266,141.238235,267.606262,0.538191,0.712777,0.083375,-303.024506,-56.812191,-341.695526
15,0,-1.392537,2.091768,-0.183592,-454.176788,-94.766563,-40.759331,-1.814918,0.295210,0.525646,-498.643982,141.265808,267.603851,0.537179,0.715848,0.085029,-303.147430,-56.452374,-341.917023
