Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.755039,2.410866,-0.147693,-498.513794,-64.836578,-73.757042,-1.661675,-0.236096,0.212817,-476.393463,94.896332,278.760223,-1.976277,2.223325,0.710044,-319.053406,-98.235977,-332.180664
2,0,-0.755330,2.410728,-0.147515,-498.505280,-64.846840,-73.747322,-1.685749,-0.239955,0.209390,-476.387573,94.896301,278.755829,-1.976723,2.223231,0.710341,-319.052704,-98.243080,-332.177063
3,0,-0.755506,2.410644,-0.147340,-498.496704,-64.855385,-73.737434,-1.696854,-0.241784,0.207856,-476.378784,94.901550,278.755798,-1.976325,2.222841,0.710727,-319.035828,-98.244041,-332.184662
4,0,-0.755134,2.410771,-0.148150,-498.488647,-64.867172,-73.732796,-1.705693,-0.243219,0.206581,-476.373322,94.909264,278.756073,-1.976629,2.223167,0.710506,-319.033661,-98.247215,-332.179718
5,0,-0.755388,2.410638,-0.147866,-498.482452,-64.874428,-73.723785,-1.721019,-0.245708,0.204389,-476.368073,94.910103,278.753479,-1.976683,2.222999,0.710646,-319.026154,-98.257431,-332.174866
6,0,-0.755703,2.410839,-0.147881,-498.477875,-64.889008,-73.712601,-1.729373,-0.247042,0.203187,-476.363098,94.915108,278.754425,-1.976351,2.223012,0.710630,-319.018433,-98.261246,-332.175232
7,0,-0.756033,2.410907,-0.147846,-498.469360,-64.900124,-73.705994,-1.730867,-0.247321,0.202974,-476.357880,94.917259,278.755096,-2.004463,2.223159,0.690417,-319.443451,-98.202576,-332.171753
8,0,-0.756051,2.410753,-0.147797,-498.458954,-64.908836,-73.696991,-1.738116,-0.248553,0.201933,-476.353516,94.922691,278.754791,-2.004282,2.223079,0.690630,-319.436310,-98.212273,-332.165192
9,0,-0.755997,2.410879,-0.148270,-498.452209,-64.916550,-73.692108,-1.738796,-0.248664,0.201816,-476.349854,94.925034,278.753174,-2.004735,2.222582,0.690783,-319.424896,-98.219032,-332.165771
10,0,-0.756517,2.411026,-0.148016,-498.446503,-64.931755,-73.682091,-1.731921,-0.247606,0.202854,-476.340210,94.932152,278.751617,-2.004926,2.222887,0.690746,-319.425507,-98.231865,-332.150909
11,0,-0.756360,2.410894,-0.148014,-498.438660,-64.939293,-73.675415,-1.735465,-0.248171,0.202368,-476.338013,94.934738,278.753143,-2.004866,2.222764,0.690608,-319.408875,-98.235443,-332.154541
12,0,-0.756696,2.410927,-0.147840,-498.427185,-64.952568,-73.667671,-1.742237,-0.249315,0.201367,-476.328552,94.937569,278.754028,-2.005253,2.222589,0.690664,-319.404236,-98.241264,-332.148163
13,0,-0.756625,2.410924,-0.147897,-498.421997,-64.961105,-73.656219,-1.742036,-0.249251,0.201456,-476.326691,94.941933,278.755402,-2.005109,2.222977,0.690608,-319.398132,-98.254646,-332.131409
14,0,-0.756859,2.410795,-0.147888,-498.411499,-64.971497,-73.650032,-1.741632,-0.249198,0.201563,-476.314362,94.948120,278.754303,-2.005332,2.221995,0.691128,-319.374756,-98.263054,-332.138947
15,0,-0.756626,2.411047,-0.148077,-498.400635,-64.979706,-73.641426,-1.736751,-0.248462,0.202253,-476.308960,94.947075,278.754547,-2.005601,2.222440,0.690969,-319.371918,-98.268654,-332.128845
