Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,2.642712,-2.624673,0.004096,-235.623947,180.505157,-73.573753,-0.192766,2.159197,-1.655880,-299.032562,231.234558,229.817719,,,,,,
2,0,2.642756,-2.624414,0.005119,-235.602646,180.483322,-73.533257,-0.200003,2.178761,-1.633392,-299.017761,231.241531,229.838455,,,,,,
3,0,2.643113,-2.624374,0.005070,-235.577133,180.455826,-73.491356,-0.207094,2.197720,-1.611315,-299.010590,231.246490,229.862473,,,,,,
4,0,2.643078,-2.624835,0.005358,-235.546280,180.429962,-73.447929,-0.214050,2.216178,-1.589406,-298.996124,231.255676,229.887527,,,,,,
5,0,2.643478,-2.624151,0.005118,-235.522003,180.408188,-73.415138,-0.220752,2.233980,-1.567733,-298.981018,231.263184,229.909409,,,,,,
6,0,2.643502,-2.624362,0.004908,-235.502548,180.379440,-73.371948,-0.227397,2.251378,-1.546189,-298.970978,231.269073,229.931854,,,,,,
7,0,2.643983,-2.624134,0.004189,-235.476593,180.355698,-73.329834,-0.233712,2.267604,-1.525768,-298.956421,231.276749,229.958145,,,,,,
8,0,2.644420,-2.624257,0.003348,-235.446564,180.329880,-73.292725,-0.239992,2.283355,-1.505583,-298.938660,231.284256,229.977051,,,,,,
9,0,2.644501,-2.624221,0.002943,-235.414291,180.310135,-73.259705,-0.246115,2.298686,-1.485597,-298.920654,231.294891,229.997833,,,,,,
10,0,2.644695,-2.624113,0.002310,-235.388367,180.285431,-73.227020,-0.251849,2.313199,-1.466480,-298.902832,231.301239,230.021484,,,,,,
11,0,2.644829,-2.623906,0.002900,-235.365067,180.259567,-73.189262,-0.257056,2.325874,-1.449517,-298.893677,231.310547,230.045639,,,,,,
12,0,2.645294,-2.623585,0.002179,-235.331985,180.237152,-73.159348,-0.260134,2.333102,-1.439768,-298.874298,231.322510,230.069107,,,,,,
13,0,2.645375,-2.623757,0.001852,-235.310120,180.206619,-73.122543,-0.263185,2.339974,-1.430419,-298.851379,231.331604,230.088715,0.896715,4.002882,-0.085988,65.911850,370.022034,-176.595123
